              Lexeme  Line no.     TOKEN_NAME     valueIfNum                  ParentSymbol          isLeafNode                    NodeSymbol
                ----      ----           ----           ----        <arithmeticExpression>                  No                    <expPrime>
                   ;        47         TK_SEM           ----              <assignmentStmt>                 Yes                          ----
                ----      ----           ----           ----                  <otherStmts>                  No                        <stmt>
                ----      ----           ----           ----                  <otherStmts>                  No                  <otherStmts>
               write        48       TK_WRITE           ----                      <ioStmt>                 Yes                          ----
                ----      ----           ----           ----                        <stmt>                  No                      <ioStmt>
                   (        48          TK_OP           ----                      <ioStmt>                 Yes                          ----
                  d4        48          TK_ID           ----               <singleOrRecId>                 Yes                          ----
                ----      ----           ----           ----                         <var>                  No               <singleOrRecId>
                   .        48         TK_DOT           ----                <oneExpansion>                 Yes                          ----
                ----      ----           ----           ----   <option_single_constructed>                  No                <oneExpansion>
               maths        48     TK_FIELDID           ----                <oneExpansion>                 Yes                          ----
                ----      ----           ----           ----               <singleOrRecId>                  No   <option_single_constructed>
                ----      ----        Epsilon           ----              <moreExpansions>                 Yes                          ----
                ----      ----           ----           ----   <option_single_constructed>                  No              <moreExpansions>
                ----      ----           ----           ----                      <ioStmt>                  No                         <var>
                   )        48          TK_CL           ----                      <ioStmt>                 Yes                          ----
                   ;        48         TK_SEM           ----                      <ioStmt>                 Yes                          ----
                ----      ----           ----           ----                  <otherStmts>                  No                        <stmt>
                ----      ----           ----           ----                  <otherStmts>                  No                  <otherStmts>
               write        49       TK_WRITE           ----                      <ioStmt>                 Yes                          ----
                ----      ----           ----           ----                        <stmt>                  No                      <ioStmt>
                   (        49          TK_OP           ----                      <ioStmt>                 Yes                          ----
                  d4        49          TK_ID           ----               <singleOrRecId>                 Yes                          ----
                ----      ----           ----           ----                         <var>                  No               <singleOrRecId>
                   .        49         TK_DOT           ----                <oneExpansion>                 Yes                          ----
                ----      ----           ----           ----   <option_single_constructed>                  No                <oneExpansion>
             physics        49     TK_FIELDID           ----                <oneExpansion>                 Yes                          ----
                ----      ----           ----           ----               <singleOrRecId>                  No   <option_single_constructed>
                ----      ----        Epsilon           ----              <moreExpansions>                 Yes                          ----
                ----      ----           ----           ----   <option_single_constructed>                  No              <moreExpansions>
                ----      ----           ----           ----                      <ioStmt>                  No                         <var>
                   )        49          TK_CL           ----                      <ioStmt>                 Yes                          ----
                   ;        49         TK_SEM           ----                      <ioStmt>                 Yes                          ----
                ----      ----           ----           ----                  <otherStmts>                  No                        <stmt>
                ----      ----           ----           ----                  <otherStmts>                  No                  <otherStmts>
               write        50       TK_WRITE           ----                      <ioStmt>                 Yes                          ----
                ----      ----           ----           ----                        <stmt>                  No                      <ioStmt>
                   (        50          TK_OP           ----                      <ioStmt>                 Yes                          ----
                  d4        50          TK_ID           ----               <singleOrRecId>                 Yes                          ----
                ----      ----           ----           ----                         <var>                  No               <singleOrRecId>
                   .        50         TK_DOT           ----                <oneExpansion>                 Yes                          ----
                ----      ----           ----           ----   <option_single_constructed>                  No                <oneExpansion>
           chemistry        50     TK_FIELDID           ----                <oneExpansion>                 Yes                          ----
                ----      ----           ----           ----               <singleOrRecId>                  No   <option_single_constructed>
                ----      ----        Epsilon           ----              <moreExpansions>                 Yes                          ----
                ----      ----           ----           ----   <option_single_constructed>                  No              <moreExpansions>
                ----      ----           ----           ----                      <ioStmt>                  No                         <var>
                   )        50          TK_CL           ----                      <ioStmt>                 Yes                          ----
                   ;        50         TK_SEM           ----                      <ioStmt>                 Yes                          ----
                ----      ----           ----           ----                  <otherStmts>                  No                        <stmt>
                ----      ----           ----           ----                  <otherStmts>                  No                  <otherStmts>
                ----      ----        Epsilon           ----                  <otherStmts>                 Yes                          ----
                ----      ----           ----           ----                  <otherStmts>                  No                  <otherStmts>
              return        51      TK_RETURN           ----                  <returnStmt>                 Yes                          ----
                ----      ----           ----           ----                       <stmts>                  No                  <returnStmt>
                ----      ----        Epsilon           ----              <optionalReturn>                 Yes                          ----
                ----      ----           ----           ----                  <returnStmt>                  No              <optionalReturn>
                   ;        51         TK_SEM           ----                  <returnStmt>                 Yes                          ----
                 end        52         TK_END           ----                <mainFunction>                 Yes                          ----
